attribute_id,required_seller
INCLUYE_SILLA_PARA_AUTO_ATT,0
INCLUYE_SISTEMA_DE_ANCLAJE_ATT,0
INCLUYE_SOBRECARPA_ATT,0
INCLUYE_TAPA_ATT,0
INCLUYE_TAPAS_ATT,0
INCLUYE_TERMOMETRO_ATT,0
INCLUYE_TRITURADOR_DE_ALIMENTOS_ATT,0
INCLUYE_VIBRADOR_ATT,0
INDICADOR_DE_LLAMADAS_ATT,0
INDICADOR_DE_TEMPERATURA_ATT,0
INFLADOR_INCORPORADO_ATT,0
INFORMACION_ADICIONAL_ATT,0
INFORMACION_EN_PANTALLA_ATT,0
INGREDIENTES_ATT,0
INSTRUCCIONES_DE_ARMADO_ATT,0
IONES_ATT,0
ISBN_ATT,0
JUEGO_EN_LINEA_ATT,0
JUGADORES_ATT,0
KILOS_QUE_SOPORTA_ATT,0
LADO_DEL_CHAISE_LONGUES_ATT,0
LAMPARA_ATT,0
LAMPARA_REEMPLAZABLE_ATT,0
LARGO_ATT,0
LARGO_CALCETAS_ATT,0
LARGO_CON_EXTENSION_ATT,0
LARGO_DE_LA_CAMA_INFERIOR_ATT,0
LARGO_DE_LA_CAMA_SUPERIOR_ATT,0
LARGO_DE_LA_HOJA_ATT,0
LARGO_DE_LA_PULSERA_ATT,0
LARGO_DE_MANGAS_ATT,0
LARGO_DE_VESTUARIO_ATT,0
LARGO_DEL_CABLE_ATT,0
LARGO_DEL_MANGO_ATT,0
LARGO_PIJAMAS_ATT,0
LARGO_TOTAL_ATT,0
LAVABLE_ATT,0
LECTOR_DE_HUELLA_ATT,1
LECTOR_SD_MICRO_SD_ATT,0
LENTE_ATT,0
LENTES_3D_INCLUIDOS_ATT,0
LLANTAS_ATT,0
LLAVE_DE_SEGURIDAD_ATT,0
LONGITUD_ATT,0
LONGITUD_DEL_CABLE_CM_ATT,0
LUMINARIA_DECORATIVA_ATT,0
LUMINOSIDAD_ATT,0
LUZ_EN_EL_HORNO_ATT,0
LUZ_INDICADORA_DE_ENCENDIDO_ATT,0
MANILLA_MOVIBLE_ATT,0
MANILLA_RETRACTIL_ATT,0
MANUAL_DE_USUARIO_ATT,0
